age_ka,Greenland_d18O
-0.01,-35.08
0.01,-34.92
0.03,-34.902
0.05,-35.128
0.07,-35.167
0.09,-35.119
0.11,-35.120000000000005
0.13,-35.31
0.15,-35.376999999999995
0.17,-35.429
0.19,-35.483000000000004
0.21,-35.587
0.23,-35.626000000000005
0.25,-35.596999999999994
0.27,-35.64
0.29,-35.634
0.31,-35.632999999999996
0.33,-35.531
0.35,-35.579
0.37,-35.504000000000005
0.39,-35.403000000000006
0.41,-35.434
0.43,-35.434999999999995
0.45,-35.309
0.47,-35.256
0.49,-35.385999999999996
0.51,-35.236999999999995
0.53,-35.165000000000006
0.55,-35.322
0.57,-35.37
0.59,-35.236000000000004
0.61,-35.311
0.63,-35.498000000000005
0.65,-35.397000000000006
0.67,-35.372
0.69,-35.495
0.71,-35.522000000000006
0.73,-35.414
0.75,-35.419
0.77,-35.522999999999996
0.79,-35.442
0.81,-35.448
0.83,-35.444
0.85,-35.543000000000006
0.87,-35.414
0.89,-35.435
0.91,-35.391000000000005
0.93,-35.385000000000005
0.95,-35.228
0.97,-35.283
0.99,-35.289
1.01,-35.260999999999996
1.03,-35.242000000000004
1.05,-35.333999999999996
1.07,-35.376
1.09,-35.373999999999995
1.11,-35.441
1.13,-35.428
1.15,-35.409
1.17,-35.373000000000005
1.19,-35.354
1.21,-35.281
1.23,-35.223
1.25,-35.233
1.27,-35.214999999999996
1.29,-35.18899999999999
1.31,-35.157
1.33,-35.141999999999996
1.35,-35.169
1.37,-35.163
1.39,-35.245999999999995
1.41,-35.230999999999995
1.43,-35.357
1.45,-35.36
1.47,-35.342
1.49,-35.233999999999995
1.51,-35.314
1.53,-35.361000000000004
1.55,-35.248999999999995
1.57,-35.211
1.59,-35.315
1.61,-35.332
1.63,-35.276
1.65,-35.398
1.67,-35.53099999999999
1.69,-35.464000000000006
1.71,-35.477000000000004
1.73,-35.467
1.75,-35.433
1.77,-35.305
1.79,-35.309
1.81,-35.164
1.83,-35.08
1.85,-34.956
1.87,-34.999
1.89,-34.909000000000006
1.91,-34.912
1.93,-34.947
1.95,-35.015
1.97,-34.976
1.99,-35.008
2.01,-35.138999999999996
2.03,-35.107
2.05,-35.176
2.07,-35.259
2.09,-35.339000000000006
2.11,-35.302
2.13,-35.38
2.15,-35.317
2.17,-35.235
2.19,-35.205999999999996
2.21,-35.14
2.23,-35.015
2.25,-34.989000000000004
2.27,-35.007000000000005
2.29,-34.932
2.31,-34.949
2.33,-35.041
2.35,-35.129999999999995
2.37,-35.12700000000001
2.39,-35.222
2.41,-35.242000000000004
2.43,-35.296
2.45,-35.232
2.47,-35.33
2.49,-35.262
2.51,-35.312
2.53,-35.198
2.55,-35.223
2.57,-35.158
2.59,-35.242000000000004
2.61,-35.203
2.63,-35.229
2.65,-35.19800000000001
2.67,-35.172
2.69,-35.11
2.71,-35.086
2.73,-35.007999999999996
2.75,-35.022
2.77,-35.018
2.79,-34.997
2.81,-34.93900000000001
2.83,-34.980000000000004
2.85,-34.941
2.87,-34.905
2.89,-34.875
2.91,-34.914
2.93,-34.922
2.95,-34.900000000000006
2.97,-34.91
2.99,-34.992000000000004
3.01,-35.010000000000005
3.03,-35.013000000000005
3.05,-35.074
3.07,-35.032
3.09,-35.001999999999995
3.11,-35.033
3.13,-35.037
3.15,-35.004999999999995
3.17,-35.104
3.19,-35.144
3.21,-35.077
3.23,-35.058
3.25,-35.07299999999999
3.27,-35.089
3.29,-34.992000000000004
3.31,-34.936
3.33,-34.91799999999999
3.35,-34.955999999999996
3.37,-34.884
3.39,-34.884
3.41,-34.952
3.43,-35.048
3.45,-34.992000000000004
3.47,-34.93600000000001
3.49,-35.0
3.51,-35.083000000000006
3.53,-34.992000000000004
3.55,-34.878
3.57,-34.92
3.59,-34.887
3.61,-34.760999999999996
3.63,-34.684000000000005
3.65,-34.800000000000004
3.67,-34.815000000000005
3.69,-34.748
3.71,-34.78
3.73,-34.94
3.75,-34.996
3.77,-34.968999999999994
3.79,-35.085
3.81,-35.152
3.83,-35.120000000000005
3.85,-35.059
3.87,-35.121
3.89,-35.116
3.91,-35.009
3.93,-35.019999999999996
3.95,-34.988
3.97,-35.025
3.99,-34.95
4.01,-35.031
4.03,-34.992999999999995
4.05,-35.048
4.07,-34.971000000000004
4.09,-34.953
4.11,-34.944
4.13,-34.923
4.15,-34.900000000000006
4.17,-34.852000000000004
4.19,-34.856
4.21,-34.838
4.23,-34.866
4.25,-34.855999999999995
4.27,-34.924
4.29,-34.982
4.31,-34.953
4.33,-34.858000000000004
4.35,-34.893
4.37,-34.918
4.39,-34.878
4.41,-34.86
4.43,-34.917
4.45,-34.82599999999999
4.47,-34.731
4.49,-34.75
4.51,-34.805
4.53,-34.732
4.55,-34.774
4.57,-34.787
4.59,-34.785
4.61,-34.745000000000005
4.63,-34.885
4.65,-34.863
4.67,-34.863
4.69,-34.832
4.71,-34.885999999999996
4.73,-34.751999999999995
4.75,-34.766999999999996
4.77,-34.759
4.79,-34.772000000000006
4.81,-34.667
4.83,-34.717
4.85,-34.632999999999996
4.87,-34.644999999999996
4.89,-34.620999999999995
4.91,-34.634
4.93,-34.576
4.95,-34.644
4.97,-34.650000000000006
4.99,-34.633
5.01,-34.714
5.03,-34.762
5.05,-34.796
5.07,-34.682
5.09,-34.739
5.11,-34.711
5.13,-34.754
5.15,-34.606
5.17,-34.747
5.19,-34.766
5.21,-34.754000000000005
5.23,-34.77
5.25,-34.952
5.27,-34.943
5.29,-34.937000000000005
5.31,-34.96000000000001
5.33,-34.942
5.35,-34.888000000000005
5.37,-34.864
5.39,-34.765
5.41,-34.742000000000004
5.43,-34.692
5.45,-34.592
5.47,-34.593999999999994
5.49,-34.653999999999996
5.51,-34.658
5.53,-34.541
5.55,-34.698
5.57,-34.735
5.59,-34.757000000000005
5.61,-34.715
5.63,-34.894000000000005
5.65,-34.857
5.67,-34.766999999999996
5.69,-34.77199999999999
5.71,-34.79899999999999
5.73,-34.783
5.75,-34.72
5.77,-34.659
5.79,-34.575
5.81,-34.598
5.83,-34.587
5.85,-34.528999999999996
5.87,-34.589
5.89,-34.662000000000006
5.91,-34.667
5.93,-34.656
5.95,-34.822
5.97,-34.847
5.99,-34.877
6.01,-34.858000000000004
6.03,-34.894999999999996
6.05,-34.730000000000004
6.07,-34.806
6.09,-34.772000000000006
6.11,-34.72
6.13,-34.634
6.15,-34.766999999999996
6.17,-34.688
6.19,-34.706
6.21,-34.724000000000004
6.23,-34.795
6.25,-34.717
6.27,-34.809
6.29,-34.709
6.31,-34.716
6.33,-34.636
6.35,-34.708
6.37,-34.544
6.39,-34.578
6.41,-34.51599999999999
6.43,-34.620999999999995
6.45,-34.553999999999995
6.47,-34.647000000000006
6.49,-34.632999999999996
6.51,-34.711
6.53,-34.67100000000001
6.55,-34.696999999999996
6.57,-34.668
6.59,-34.64399999999999
6.61,-34.616
6.63,-34.567
6.65,-34.544
6.67,-34.574
6.69,-34.617999999999995
6.71,-34.592
6.73,-34.577
6.75,-34.629
6.77,-34.60499999999999
6.79,-34.616
6.81,-34.599999999999994
6.83,-34.604
6.85,-34.586999999999996
6.87,-34.632
6.89,-34.581999999999994
6.91,-34.622
6.93,-34.724999999999994
6.95,-34.708
6.97,-34.625
6.99,-34.723
7.01,-34.802
7.03,-34.714
7.05,-34.732
7.07,-34.814
7.09,-34.80199999999999
7.11,-34.744
7.13,-34.846000000000004
7.15,-34.763999999999996
7.17,-34.747
7.19,-34.774
7.21,-34.805
7.23,-34.666
7.25,-34.738
7.27,-34.716
7.29,-34.652
7.31,-34.618
7.33,-34.666
7.35,-34.583
7.37,-34.496
7.39,-34.507000000000005
7.41,-34.509
7.43,-34.533
7.45,-34.48
7.47,-34.566
7.49,-34.513000000000005
7.51,-34.49
7.53,-34.464
7.55,-34.484
7.57,-34.364000000000004
7.59,-34.344
7.61,-34.353
7.63,-34.230000000000004
7.65,-34.263999999999996
7.67,-34.355000000000004
7.69,-34.328
7.71,-34.199
7.73,-34.31
7.75,-34.309
7.77,-34.28399999999999
7.79,-34.319
7.81,-34.42
7.83,-34.428
7.85,-34.498
7.87,-34.481
7.89,-34.462
7.91,-34.494
7.93,-34.501999999999995
7.95,-34.422
7.97,-34.419
7.99,-34.45399999999999
8.01,-34.375
8.03,-34.498
8.05,-34.652
8.07,-34.801
8.09,-34.913
8.11,-35.206
8.13,-35.328
8.15,-35.384
8.17,-35.554
8.19,-35.59
8.21,-35.531000000000006
8.23,-35.368
8.25,-35.356
8.27,-35.073
8.29,-35.041
8.31,-34.934
8.33,-34.867
8.35,-34.751999999999995
8.37,-34.867
8.39,-34.783
8.41,-34.745999999999995
8.43,-34.81099999999999
8.45,-34.792
8.47,-34.664
8.49,-34.708
8.51,-34.696
8.53,-34.651
8.55,-34.703
8.57,-34.82899999999999
8.59,-34.682
8.61,-34.759
8.63,-34.793
8.65,-34.867
8.67,-34.68600000000001
8.69,-34.916
8.71,-34.893
8.73,-34.84
8.75,-34.721999999999994
8.77,-34.913
8.79,-34.803
8.81,-34.67
8.83,-34.714
8.85,-34.691
8.87,-34.541
8.89,-34.5
8.91,-34.69
8.93,-34.679
8.95,-34.70400000000001
8.97,-34.781000000000006
8.99,-34.900999999999996
9.01,-34.889
9.03,-34.853
9.05,-34.821
9.07,-34.81099999999999
9.09,-34.774
9.11,-34.697
9.13,-34.754000000000005
9.15,-34.883
9.17,-35.04
9.19,-35.07
9.21,-35.197
9.23,-35.257999999999996
9.25,-35.282999999999994
9.27,-35.201
9.29,-35.17399999999999
9.31,-35.081999999999994
9.33,-34.992999999999995
9.35,-34.931
9.37,-34.897
9.39,-34.861999999999995
9.41,-34.900999999999996
9.43,-34.900999999999996
9.45,-34.891999999999996
9.47,-34.899
9.49,-34.946
9.51,-34.866
9.53,-34.892
9.55,-34.9
9.57,-34.900000000000006
9.59,-34.843
9.61,-34.87400000000001
9.63,-34.852000000000004
9.65,-34.804
9.67,-34.736000000000004
9.69,-34.777
9.71,-34.837
9.73,-34.852999999999994
9.75,-34.806
9.77,-34.913
9.79,-34.995999999999995
9.81,-34.979
9.83,-34.991
9.85,-35.059
9.87,-35.077
9.89,-34.993
9.91,-35.043000000000006
9.93,-35.087
9.95,-35.147000000000006
9.97,-35.137
9.99,-35.198
10.01,-35.265
10.03,-35.241
10.05,-35.244
10.07,-35.236000000000004
10.09,-35.334
10.11,-35.263
10.13,-35.378
10.15,-35.472
10.17,-35.647999999999996
10.19,-35.665
10.21,-35.765
10.23,-35.881
10.25,-35.971999999999994
10.27,-36.015
10.29,-35.976
10.31,-36.047
10.33,-36.018
10.35,-35.988
10.37,-35.981
10.39,-36.023
10.41,-35.976
10.43,-35.893
10.45,-35.937
10.47,-35.842
10.49,-35.869
10.51,-35.891000000000005
10.53,-35.967
10.55,-35.873
10.57,-35.92699999999999
10.59,-35.96000000000001
10.61,-36.022000000000006
10.63,-35.945
10.65,-36.004999999999995
10.67,-36.104
10.69,-36.11500000000001
10.71,-36.101
10.73,-36.194
10.75,-36.401
10.77,-36.457
10.79,-36.611999999999995
10.81,-36.689
10.83,-36.881
10.85,-37.036
10.87,-37.07000000000001
10.89,-37.106
10.91,-37.126000000000005
10.93,-37.168
10.95,-36.949
10.97,-36.986999999999995
10.99,-36.88199999999999
11.01,-36.845
11.03,-36.782
11.05,-36.813
11.07,-36.793000000000006
11.09,-36.86
11.11,-37.025999999999996
11.13,-36.943
11.15,-36.911
11.17,-36.912000000000006
11.19,-37.044
11.21,-36.894999999999996
11.23,-36.882999999999996
11.25,-36.94499999999999
11.27,-37.065
11.29,-36.928999999999995
11.31,-37.142
11.33,-37.406
11.35,-37.638
11.37,-37.573
11.39,-37.825
11.41,-37.804
11.43,-37.765
11.45,-37.55800000000001
11.47,-37.568
11.49,-37.269000000000005
11.51,-37.07
11.53,-36.893
11.55,-36.992000000000004
11.57,-37.075
11.59,-36.646
11.61,-36.662
11.63,-36.986
11.65,-37.438
