OBJECTID *,SHAPE *,Fire ID,Fire Year,Decade,Fire Number,Fire District,Area (ha) of full polygon,Perimeter Source,Drafting Method,Comments,SHAPE_Length,SHAPE_Area (within inventory region only)
40,Polygon Z,195200009,1952,1950,9,YT,366.19113,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,17006.81187,3661911.263
48,Polygon Z,195300055,1953,1950,55,YT,36.4069,Sketch Map from Report,Digitize: Heads-up, ,3223.548499,364068.9702
51,Polygon Z,195300046,1953,1950,46,YT,20416.55412,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,12215.57191,8880253.016
193,Polygon Z,195400060,1954,1950,60,YT,426.75867,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,12386.45761,4267586.745
3,Polygon Z,195700039,1957,1950,39,YT,10095.41912,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,42513.67297,100954191.2
25,Polygon Z,195700034,1957,1950,34,YT,4994.26029,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,30146.28227,49942602.93
63,Polygon Z,195700038,1957,1950,38,YT,1549.08552,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,17428.37873,15490855.25
69,Polygon Z,195700021,1957,1950,21,YT,1192.56294,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,17688.49203,11925629.4
71,Polygon Z,195700023,1957,1950,23,YT,1064.61367,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,16761.22432,10646136.74
74,Polygon Z,195700024,1957,1950,24,YT,232.46209,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,6322.783705,2324620.892
126,Polygon Z,195700060,1957,1950,60,YT,206.36455,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,5599.103742,2063645.487
162,Polygon Z,195700020,1957,1950,20,YT,686.94415,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,11696.90866,6869441.456
169,Polygon Z,195700050,1957,1950,50,YT,6125.85399,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,39679.47578,61258539.89
197,Polygon Z,195700051,1957,1950,51,YT,444.33218,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,8021.083832,4443321.847
47,Polygon Z,195800027,1958,1950,27,YT,370.78816,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,7986.561561,3707881.646
133,Polygon Z,195800031,1958,1950,31,YT,871.60254,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,13920.59773,8716025.426
9,Polygon Z,195900029,1959,1950,29,YT,269.83372,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,8568.151581,2698337.194
1,Polygon Z,196608009,1966,1960,9,Dawson,128636.945,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,10119.42939,5164795.571
42,Polygon Z,196608013,1966,1960,13,Dawson,41930.86885,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,109132.6665,243026820.4
127,Polygon Z,196608012,1966,1960,12,Dawson,459.3778,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,9747.004472,4593777.96
66,Polygon Z,196708008,1967,1960,8,Dawson,8253.40422,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,39898.01713,82534042.17
87,Polygon Z,196708004,1967,1960,4,Dawson,7126.96845,30m LandSAT 7 Satellite Imagery,Digitize: Heads-up, ,77835.94742,64482932.75
117,Polygon Z,196708001,1967,1960,1,Dawson,2805.33155,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,33191.22782,28053315.44
124,Polygon Z,196708002,1967,1960,2,Dawson,24483.17222,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,87355.40239,214302015.3
183,Polygon Z,196708005,1967,1960,5,Dawson,752.65062,Sketch Map Not Specified,Digitize: Tablet Analogue Source, ,15845.40185,7526506.166
